item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q111841551,Isaura António Júlio,Q504564,FRELIMO,Q622801,Sofala,2020-01-13,,female,Q111841551-2B73F45A-FEA2-4050-AC89-17B62A19EF9B
Q111841553,Isequiel Molde Gusse,Q1425821,RENAMO,Q622803,Zambezia Province,2020-01-13,,male,Q111841553-A346061B-02BC-49D3-81DF-0CFCE4933FBF
Q111843394,Ivone Sansão Bila,Q504564,FRELIMO,,,2020-01-13,,,Q111843394-2F11E42A-F1E8-40FA-8F54-07AAE0115425
Q111841556,Jacinto Gabriel Lourenço Inácio Capito,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,male,Q111841556-EC722FD0-53F4-403C-B248-D0613DFE0172
Q20192117,Jaime Basílio Monteiro,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,male,Q20192117-134E1A2C-E120-45FA-969D-D10EDCB3C17A
Q111841560,Jerónima Agostinho,Q504564,FRELIMO,Q466547,Inhambane Province,2020-01-13,,female,Q111841560-D95C18A3-F26B-48E2-B9B6-729F048DACEC
Q111841561,Jerónimo Malagueta Nalia,Q1425821,RENAMO,Q622803,Zambezia Province,2020-01-13,,male,Q111841561-F53633D7-246C-46F3-90E3-004B5E7787B1
Q111841562,Joana Anacleto Vasco,Q504564,FRELIMO,Q605787,Tete Province,2020-01-13,,female,Q111841562-56A1B224-0F5B-46A8-BEF3-44DFC37B7134
Q111843395,Joana Júlia Seifana Mucamba Ravia,Q504564,FRELIMO,Q605787,Tete Province,2020-01-13,,,Q111843395-BA59D05B-F7B2-4B90-9A8D-DC096F5EEFA9
Q111843396,Joaquina Oreste Siliya,Q504564,FRELIMO,Q466547,Inhambane Province,2020-01-13,,,Q111843396-3DDBEE6B-6755-474B-907F-2A4FC5D9924D
Q111843397,Jonas Fenias Sitoe,Q504564,FRELIMO,,,2020-01-13,,,Q111843397-98461672-B474-483D-BC18-5A8FAEAB15FC
Q111843410,Josefa Jacinto Musica,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,,Q111843410-0B4844B6-E7F9-44A1-8267-7B50480A9BDC
Q111841566,José Bento Coffe Mutsanhe,Q504564,FRELIMO,Q379658,Maputo Province,2020-01-13,,male,Q111841566-BBF8EE56-781C-43B3-B68D-77F2B41ADC24
Q111843500,José Domingos Manuel,Q668181,Democratic Movement of Mozambique,Q622801,Sofala,2020-01-13,,,Q111843500-64EF213C-A9C8-4BA4-9E98-845DF75439CF
